dataset,backbone,direction,nlist,nprobe,method,map@10,map@100,ndcg@10,ndcg@100,r10,r100,n_db,d,seed
MSCOCO,CLIP-B/32,text->image,71,16,vanilla_rabitq,0.881143,0.473887,0.925387,0.642162,0.4006,0.576264,5000,512,42
MSCOCO,CLIP-B/32,text->image,71,16,vanilla_rabitq_meanshift,0.868072,0.433286,0.91587,0.606899,0.37706,0.536014,5000,512,42
MSCOCO,CLIP-B/32,text->image,71,16,pmc_1.00,0.937662,0.543599,0.961796,0.69324,0.4594,0.627394,5000,512,42
MSCOCO,CLIP-B/32,image->text,71,16,vanilla_rabitq,0.756334,0.373546,0.842111,0.563233,0.28536,0.498954,5000,512,42
MSCOCO,CLIP-B/32,image->text,71,16,vanilla_rabitq_meanshift,0.854466,0.391018,0.907503,0.569392,0.30482,0.4928,5000,512,42
MSCOCO,CLIP-B/32,image->text,71,16,pmc_1.00,0.916677,0.507676,0.949191,0.66795,0.38714,0.600626,5000,512,42
MSCOCO,CLIP-L/14,text->image,71,16,vanilla_rabitq,0.809951,0.433691,0.874997,0.60858,0.36064,0.54587,5000,768,42
MSCOCO,CLIP-L/14,text->image,71,16,vanilla_rabitq_meanshift,0.883631,0.439589,0.924822,0.607707,0.3675,0.533806,5000,768,42
MSCOCO,CLIP-L/14,text->image,71,16,pmc_1.00,0.961994,0.578177,0.97676,0.715554,0.48042,0.64984,5000,768,42
MSCOCO,CLIP-L/14,image->text,71,16,vanilla_rabitq,0.673908,0.326779,0.781562,0.525061,0.26328,0.465542,5000,768,42
MSCOCO,CLIP-L/14,image->text,71,16,vanilla_rabitq_meanshift,0.880822,0.411882,0.924615,0.58503,0.34638,0.507204,5000,768,42
MSCOCO,CLIP-L/14,image->text,71,16,pmc_1.00,0.938189,0.547318,0.962473,0.696367,0.44488,0.631028,5000,768,42
MSCOCO,ImageBind,text->image,71,16,vanilla_rabitq,0.97543,0.602657,0.985358,0.733183,0.55472,0.668778,5000,1024,42
MSCOCO,ImageBind,text->image,71,16,vanilla_rabitq_meanshift,0.953297,0.546362,0.971124,0.689786,0.50764,0.62057,5000,1024,42
MSCOCO,ImageBind,text->image,71,16,pmc_1.00,0.991024,0.703025,0.994684,0.802234,0.6331,0.748618,5000,1024,42
MSCOCO,ImageBind,image->text,71,16,vanilla_rabitq,0.952877,0.63884,0.972077,0.762553,0.57048,0.706802,5000,1024,42
MSCOCO,ImageBind,image->text,71,16,vanilla_rabitq_meanshift,0.973601,0.593253,0.983949,0.722464,0.53498,0.655128,5000,1024,42
MSCOCO,ImageBind,image->text,71,16,pmc_1.00,0.988885,0.704255,0.9936,0.802753,0.6363,0.748886,5000,1024,42
Flickr30K-full,CLIP-L/14,text->image,176,32,vanilla_rabitq,0.684178,0.274803,0.790964,0.475186,0.309915,0.407304,31014,768,42
Flickr30K-full,CLIP-L/14,text->image,176,32,vanilla_rabitq_meanshift,0.62296,0.223047,0.738404,0.412975,0.256716,0.344618,31014,768,42
Flickr30K-full,CLIP-L/14,text->image,176,32,pmc_1.00,0.818795,0.364292,0.886386,0.555317,0.37918,0.481735,31014,768,42
Flickr30K-full,CLIP-L/14,image->text,176,32,vanilla_rabitq,0.453694,0.177849,0.61129,0.380543,0.215399,0.3308,31014,768,42
Flickr30K-full,CLIP-L/14,image->text,176,32,vanilla_rabitq_meanshift,0.680552,0.248117,0.787825,0.444407,0.287299,0.371865,31014,768,42
Flickr30K-full,CLIP-L/14,image->text,176,32,pmc_1.00,0.80683,0.357942,0.8789,0.550906,0.384594,0.477777,31014,768,42
Clotho-all,ImageBind,text->audio,77,16,vanilla_rabitq,0.97143,0.65999,0.983194,0.777332,0.593503,0.722865,5926,1024,42
Clotho-all,ImageBind,text->audio,77,16,vanilla_rabitq_meanshift,0.894012,0.51175,0.932154,0.667724,0.452396,0.604215,5926,1024,42
Clotho-all,ImageBind,text->audio,77,16,pmc_1.00,0.978253,0.674816,0.987127,0.786277,0.598161,0.731949,5926,1024,42
Clotho-all,ImageBind,audio->text,77,16,vanilla_rabitq,0.921936,0.537319,0.952382,0.688184,0.484796,0.62204,5926,1024,42
Clotho-all,ImageBind,audio->text,77,16,vanilla_rabitq_meanshift,0.839004,0.402328,0.896054,0.581921,0.349021,0.511397,5926,1024,42
Clotho-all,ImageBind,audio->text,77,16,pmc_1.00,0.964811,0.615436,0.979033,0.746074,0.542896,0.685977,5926,1024,42
AudioCaps,ImageBind,text->audio,30,8,vanilla_rabitq,0.982153,0.640087,0.989609,0.761731,0.668426,0.699801,884,1024,42
AudioCaps,ImageBind,text->audio,30,8,vanilla_rabitq_meanshift,0.932188,0.497717,0.955998,0.650339,0.55667,0.575248,884,1024,42
AudioCaps,ImageBind,text->audio,30,8,pmc_1.00,0.990991,0.661794,0.99459,0.770663,0.69479,0.706904,884,1024,42
AudioCaps,ImageBind,audio->text,66,16,vanilla_rabitq,0.925198,0.574099,0.953474,0.710458,0.498982,0.645928,4415,1024,42
AudioCaps,ImageBind,audio->text,66,16,vanilla_rabitq_meanshift,0.829278,0.453428,0.884137,0.615639,0.358597,0.549966,4415,1024,42
AudioCaps,ImageBind,audio->text,66,16,pmc_1.00,0.964755,0.654307,0.978491,0.769809,0.552828,0.713586,4415,1024,42
