dataset,backbone,direction,n_calib,sample_seed,gap_cos_to_full,gap_angle_deg,r10,r100,delta_r100_vs_original_exact,delta_r100_vs_fullgap,gt_protocol
mscoco,clip-b32,text2image,25,0,0.9799891114234924,11.481475594344369,0.58164,0.73477,-0.26522999999999997,0.0047520000000000895,original_exact_ip
mscoco,clip-b32,text2image,25,1,0.9877946972846985,8.960961764808179,0.5743,0.724808,-0.275192,-0.005209999999999937,original_exact_ip
mscoco,clip-b32,text2image,25,2,0.9852315187454224,9.85919577495236,0.58196,0.733266,-0.266734,0.0032480000000000286,original_exact_ip
mscoco,clip-b32,text2image,25,3,0.989707887172699,8.227409016678294,0.5752,0.725948,-0.27405199999999996,-0.004069999999999907,original_exact_ip
mscoco,clip-b32,text2image,25,4,0.987188458442688,9.181276848589697,0.57748,0.728282,-0.271718,-0.0017359999999999598,original_exact_ip
mscoco,clip-b32,text2image,50,0,0.9936003684997559,6.485552758319613,0.57654,0.72792,-0.27208,-0.0020979999999999333,original_exact_ip
mscoco,clip-b32,text2image,50,1,0.9915181398391724,7.4677648041832745,0.58402,0.732874,-0.267126,0.0028560000000000807,original_exact_ip
mscoco,clip-b32,text2image,50,2,0.9938408136367798,6.362421884916767,0.58032,0.733324,-0.266676,0.003306000000000031,original_exact_ip
mscoco,clip-b32,text2image,50,3,0.9938032031059265,6.381838152437705,0.58286,0.735788,-0.264212,0.005770000000000053,original_exact_ip
mscoco,clip-b32,text2image,50,4,0.9934957027435303,6.53843032714751,0.57898,0.730512,-0.26948799999999995,0.0004940000000001055,original_exact_ip
mscoco,clip-b32,text2image,100,0,0.9965019226074219,4.7937901423265,0.57414,0.72615,-0.27385000000000004,-0.0038679999999999826,original_exact_ip
mscoco,clip-b32,text2image,100,1,0.9955264329910278,5.4215896114788436,0.57548,0.728896,-0.271104,-0.0011219999999999564,original_exact_ip
mscoco,clip-b32,text2image,100,2,0.9972773790359497,4.228923281530056,0.57886,0.72998,-0.27002000000000004,-3.799999999998249e-05,original_exact_ip
