Dataset,Enc,Dir,n_db,nlist,nprobe,probe_budget,shifted_db_modality,mean_norm,sigma2,eff_dim,cov_van,cov_pmc,cov_gap,jaccard,r100_van,r100_pmc,rerank_verdict
MSCOCO,CLIP,forward,5000,71,18,0.253521,image,0.686458,0.528775,65.3072,0.874556,0.875626,0.00107,0.497628,0.57305,0.62805,PMC wins
MSCOCO,CL-L,forward,5000,71,18,0.253521,image,0.704951,0.503045,97.6601,0.844952,0.888244,0.043292,0.481373,0.540354,0.651396,PMC wins
MSCOCO,IB,forward,5000,71,18,0.253521,image,0.544609,0.703401,108.5755,0.91092,0.940604,0.029684,0.568603,0.668852,0.749616,PMC wins
Flickr30K,CL-L,forward,31014,177,44,0.248588,image,0.708024,0.498702,111.7594,0.697163,0.778416,0.081253,0.387165,0.407106,0.485851,PMC wins
Clotho,IB,forward,5926,77,19,0.246753,audio,0.358587,0.871416,36.2983,0.953267,0.94895,-0.004317,0.630829,0.724057,0.734705,PMC wins
AudioCaps,IB,forward,4411,67,17,0.253731,audio,0.263405,0.930618,41.9753,0.947393,0.945432,-0.001961,0.580088,0.720118,0.749125,PMC wins
MSCOCO,CLIP,reverse,5000,71,18,0.253521,text,0.712861,0.491829,65.1716,0.805272,0.874248,0.068976,0.435904,0.49402,0.598338,PMC wins
MSCOCO,CL-L,reverse,5000,71,18,0.253521,text,0.593262,0.648041,72.0573,0.77734,0.899002,0.121662,0.412367,0.458444,0.627616,PMC wins
MSCOCO,IB,reverse,5000,71,18,0.253521,text,0.465288,0.783507,76.2012,0.894758,0.922824,0.028066,0.605131,0.707096,0.750292,PMC wins
Flickr30K,CL-L,reverse,31014,177,44,0.248588,text,0.520494,0.729087,64.7321,0.593674,0.759412,0.165737,0.246703,0.326829,0.481792,PMC wins
Clotho,IB,reverse,5926,77,19,0.246753,text,0.560086,0.686303,53.2361,0.884156,0.918807,0.034651,0.569273,0.62446,0.69051,PMC wins
AudioCaps,IB,reverse,4411,67,17,0.253731,text,0.57318,0.671465,41.6591,0.868121,0.917379,0.049259,0.553325,0.625232,0.704337,PMC wins
LAION-400M,CLIP,forward,407314954,80000,256,0.0032,image,n/m (407M),n/m (407M),n/m (407M),0.197822,0.27733,0.079508,n/m (407M),0.107899,0.142599,PMC wins (proxy from rerank CSV)
LAION-400M,CLIP,reverse,407314954,80000,256,0.0032,text,n/m (407M),n/m (407M),n/m (407M),0.158096,0.139867,-0.018229,n/m (407M),0.068595,0.072835,Vanilla wins (proxy from rerank CSV)
