panel,dataset,direction,x,r100,qps
a,mscoco,text2image,0,--,
a,mscoco,text2image,0.25,--,
a,mscoco,text2image,0.5,--,
a,mscoco,text2image,0.75,--,
a,mscoco,text2image,1,--,
a,mscoco,image2text,0,--,
a,mscoco,image2text,0.25,--,
a,mscoco,image2text,0.5,--,
a,mscoco,image2text,0.75,--,
a,mscoco,image2text,1,--,
a,clotho,text2audio,0,--,
a,clotho,text2audio,0.25,--,
a,clotho,text2audio,0.5,--,
a,clotho,text2audio,0.75,--,
a,clotho,text2audio,1,--,
a,clotho,audio2text,0,--,
a,clotho,audio2text,0.25,--,
a,clotho,audio2text,0.5,--,
a,clotho,audio2text,0.75,--,
a,clotho,audio2text,1,--,
b,mscoco,t2i,0,0.5734,
b,mscoco,t2i,5,0.6641,
b,mscoco,t2i,10,0.6619,
b,mscoco,t2i,20,0.6586,
b,mscoco,t2i,50,0.6509,
b,mscoco,t2i,100,0.6482,
b,mscoco,i2t,0,0.5112,
b,mscoco,i2t,5,0.6776,
b,mscoco,i2t,10,0.6797,
b,mscoco,i2t,20,0.6827,
b,mscoco,i2t,50,0.6839,
b,mscoco,i2t,100,0.6827,
b,clotho,t2a,0,0.7930,
b,clotho,t2a,5,0.7825,
b,clotho,t2a,10,0.7806,
b,clotho,t2a,20,0.7817,
b,clotho,t2a,50,0.7776,
b,clotho,t2a,100,0.7761,
b,clotho,a2t,0,0.7580,
b,clotho,a2t,5,0.7888,
b,clotho,a2t,10,0.7910,
b,clotho,a2t,20,0.7936,
b,clotho,a2t,50,0.7921,
b,clotho,a2t,100,0.7928,
c,mscoco,vanilla_rabitq,1,0.4083,21711.6
c,mscoco,vanilla_rabitq,2,0.5262,11692.0
c,mscoco,vanilla_rabitq,4,0.5788,5900.6
c,mscoco,vanilla_rabitq,8,0.5869,2855.4
c,mscoco,vanilla_rabitq,16,0.5701,1535.7
c,mscoco,vanilla_rabitq,32,0.5433,807.8
c,mscoco,vanilla_rabitq,64,0.5220,387.5
c,mscoco,ivfpq_meanshift_64B,1,0.3298,2332.4
c,mscoco,ivfpq_meanshift_64B,2,0.4368,2020.1
c,mscoco,ivfpq_meanshift_64B,4,0.5072,1765.4
c,mscoco,ivfpq_meanshift_64B,8,0.5516,1403.2
c,mscoco,ivfpq_meanshift_64B,16,0.5762,990.2
c,mscoco,ivfpq_meanshift_64B,32,0.5870,741.8
c,mscoco,ivfpq_meanshift_64B,64,0.5895,423.0
c,mscoco,pmc_1.00,1,0.3660,17304.2
c,mscoco,pmc_1.00,2,0.4837,10135.7
c,mscoco,pmc_1.00,4,0.5649,4996.7
c,mscoco,pmc_1.00,8,0.6067,2485.3
c,mscoco,pmc_1.00,16,0.6232,1337.3
c,mscoco,pmc_1.00,32,0.6214,661.4
c,mscoco,pmc_1.00,64,0.6116,287.3
