dataset,direction,alpha,r100
mscoco,text2image,0,0.5723
mscoco,text2image,0.25,0.5519
mscoco,text2image,0.5,0.5804
mscoco,text2image,0.75,0.6085
mscoco,text2image,1,0.6232
mscoco,image2text,0,0.4939
mscoco,image2text,0.25,0.5142
mscoco,image2text,0.5,0.5477
mscoco,image2text,0.75,0.5845
mscoco,image2text,1,0.6030
mscoco_imagebind,text2image,0,0.6674
mscoco_imagebind,text2image,0.25,0.6494
mscoco_imagebind,text2image,0.5,0.6796
mscoco_imagebind,text2image,0.75,0.7186
mscoco_imagebind,text2image,1,0.7479
mscoco_imagebind,image2text,0,0.7044
mscoco_imagebind,image2text,0.25,0.6824
mscoco_imagebind,image2text,0.5,0.7069
mscoco_imagebind,image2text,0.75,0.7257
mscoco_imagebind,image2text,1,0.7479
clotho,text2audio,0,0.6669
clotho,text2audio,0.25,0.7063
clotho,text2audio,0.5,0.7392
clotho,text2audio,0.75,0.7641
clotho,text2audio,1,0.7781
clotho,audio2text,0,0.5216
clotho,audio2text,0.25,0.5673
clotho,audio2text,0.5,0.6145
clotho,audio2text,0.75,0.6643
clotho,audio2text,1,0.7056
