dataset,backbone,direction,index_type,mode,r10,r100,gt_protocol
mscoco,clip-b32,text2image,binary_flat,vanilla,0.3559,0.507302,original_exact_ip
mscoco,clip-b32,text2image,ivf_rabitq,vanilla,0.42142,0.57794,original_exact_ip
mscoco,clip-b32,text2image,binary_flat,query_only,0.39748,0.56914,original_exact_ip
mscoco,clip-b32,text2image,ivf_rabitq,query_only,0.39176,0.541144,original_exact_ip
mscoco,clip-b32,text2image,binary_flat,db_only,0.39698,0.569712,original_exact_ip
mscoco,clip-b32,text2image,ivf_rabitq,db_only,0.4751,0.63716,original_exact_ip
mscoco,clip-b32,text2image,binary_flat,both,0.39634,0.569716,original_exact_ip
mscoco,clip-b32,text2image,ivf_rabitq,both,0.4408,0.598558,original_exact_ip
mscoco,clip-b32,image2text,binary_flat,vanilla,0.27698,0.457924,original_exact_ip
mscoco,clip-b32,image2text,ivf_rabitq,vanilla,0.26598,0.515454,original_exact_ip
mscoco,clip-b32,image2text,binary_flat,query_only,0.39484,0.570916,original_exact_ip
mscoco,clip-b32,image2text,ivf_rabitq,query_only,0.31378,0.495434,original_exact_ip
mscoco,clip-b32,image2text,binary_flat,db_only,0.39452,0.567536,original_exact_ip
mscoco,clip-b32,image2text,ivf_rabitq,db_only,0.413,0.608346,original_exact_ip
mscoco,clip-b32,image2text,binary_flat,both,0.39496,0.568664,original_exact_ip
mscoco,clip-b32,image2text,ivf_rabitq,both,0.36202,0.553544,original_exact_ip
audiocaps,imagebind,text2audio,binary_flat,vanilla,0.5996375990939977,0.6298301245753114,original_exact_ip
audiocaps,imagebind,text2audio,ivf_rabitq,vanilla,0.7286296715741789,0.7764983012457531,original_exact_ip
audiocaps,imagebind,text2audio,binary_flat,query_only,0.6039184597961494,0.6450464326160815,original_exact_ip
audiocaps,imagebind,text2audio,ivf_rabitq,query_only,0.5831483578708947,0.6114994337485844,original_exact_ip
audiocaps,imagebind,text2audio,binary_flat,db_only,0.6166024915062288,0.6596693091732729,original_exact_ip
audiocaps,imagebind,text2audio,ivf_rabitq,db_only,0.7252321630804077,0.7768425821064553,original_exact_ip
audiocaps,imagebind,text2audio,binary_flat,both,0.6130011325028313,0.6560135900339751,original_exact_ip
audiocaps,imagebind,text2audio,ivf_rabitq,both,0.673590033975085,0.7147270668176671,original_exact_ip
audiocaps,imagebind,audio2text,binary_flat,vanilla,0.3574660633484163,0.5142533936651583,original_exact_ip
audiocaps,imagebind,audio2text,ivf_rabitq,vanilla,0.4666289592760181,0.6672850678733032,original_exact_ip
audiocaps,imagebind,audio2text,binary_flat,query_only,0.4748868778280543,0.6506674208144796,original_exact_ip
audiocaps,imagebind,audio2text,ivf_rabitq,query_only,0.36945701357466065,0.5659954751131222,original_exact_ip
audiocaps,imagebind,audio2text,binary_flat,db_only,0.46210407239819007,0.6442194570135746,original_exact_ip
audiocaps,imagebind,audio2text,ivf_rabitq,db_only,0.5835972850678733,0.7526131221719456,original_exact_ip
audiocaps,imagebind,audio2text,binary_flat,both,0.47194570135746605,0.6518552036199095,original_exact_ip
audiocaps,imagebind,audio2text,ivf_rabitq,both,0.46233031674208147,0.6552149321266968,original_exact_ip
