dataset,backbone,direction,alpha,r10_to_original_gt,r100_to_original_gt,jaccard10_vs_original_ranking,jaccard100_vs_original_ranking,gt_protocol
mscoco,clip-b32,text2image,0.0,0.43994,0.585276,0.29980309477243416,0.4276495769633767,original_exact_ip
mscoco,clip-b32,text2image,0.25,0.47628,0.62413,0.33128384166571573,0.46668395540956614,original_exact_ip
mscoco,clip-b32,text2image,0.5,0.52126,0.670096,0.37208571529947315,0.5156894996878701,original_exact_ip
mscoco,clip-b32,text2image,1.0,0.57826,0.730018,0.4270190509009188,0.585171742599396,original_exact_ip
mscoco,clip-b32,image2text,0.0,0.37138,0.554918,0.24220464004519207,0.3973484010961175,original_exact_ip
mscoco,clip-b32,image2text,0.25,0.404,0.590444,0.268089661353431,0.4316965229787316,original_exact_ip
mscoco,clip-b32,image2text,0.5,0.44428,0.633744,0.3015702083606008,0.47565169790631445,original_exact_ip
mscoco,clip-b32,image2text,1.0,0.50176,0.694442,0.3522050804716274,0.5421595558205288,original_exact_ip
audiocaps,imagebind,text2audio,0.0,0.6435787089467724,0.6613227633069083,0.512589635613615,0.5068153168110462,original_exact_ip
audiocaps,imagebind,text2audio,0.25,0.7038731596828992,0.7277734994337486,0.5764663917695462,0.5822691275542689,original_exact_ip
audiocaps,imagebind,text2audio,0.5,0.7623329558323896,0.7941721404303511,0.6431023331000112,0.6657889426954127,original_exact_ip
audiocaps,imagebind,text2audio,1.0,0.8451868629671574,0.8879818799546999,0.7483954864076139,0.8015585991991432,original_exact_ip
audiocaps,imagebind,audio2text,0.0,0.4421945701357466,0.6260972850678733,0.30824581020531117,0.47453832219688824,original_exact_ip
audiocaps,imagebind,audio2text,0.25,0.501131221719457,0.6777036199095022,0.3590309916483517,0.529171038081596,original_exact_ip
audiocaps,imagebind,audio2text,0.5,0.5792986425339367,0.7446719457013574,0.4319909803892346,0.605844300588852,original_exact_ip
audiocaps,imagebind,audio2text,1.0,0.7562217194570136,0.8886538461538461,0.6265543653253295,0.8036247548628465,original_exact_ip
