dataset,backbone,direction,N_db,nlist_setting,nlist,nprobe,probed_fraction,vanilla_R10,ms_R10,pmc_R10,vanilla_R100,ms_R100,pmc_R100,pmc_gain_R100_pct,vanilla_qps,ms_qps,pmc_qps
AudioCaps,ImageBind,audio->text,3346,n64,64,1,0.015625,0.379464,0.372024,0.386905,0.549107,0.577381,0.572917,4.34,229782.87,228828.25,229320.23
AudioCaps,ImageBind,audio->text,3346,n64,64,2,0.03125,0.43006,0.416667,0.441964,0.705357,0.712798,0.709821,0.63,123649.89,113715.19,117853.38
AudioCaps,ImageBind,audio->text,3346,n64,64,4,0.0625,0.434524,0.440476,0.456845,0.760417,0.785714,0.764881,0.59,59735.46,59133.07,59139.31
AudioCaps,ImageBind,audio->text,3346,n64,64,8,0.125,0.438988,0.456845,0.462798,0.794643,0.824405,0.808036,1.69,31331.3,30262.5,30678.49
AudioCaps,ImageBind,audio->text,3346,n64,64,16,0.25,0.44494,0.459821,0.471726,0.822917,0.839286,0.830357,0.9,16318.44,16511.66,15841.1
AudioCaps,ImageBind,audio->text,3346,n64,64,32,0.5,0.450893,0.455357,0.473214,0.833333,0.834821,0.830357,-0.36,8132.95,8254.85,8513.22
AudioCaps,ImageBind,audio->text,3346,n64,64,64,1.0,0.450893,0.456845,0.46875,0.831845,0.837798,0.834821,0.36,4278.21,4198.08,4205.57
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,1,0.017241,0.358631,0.373512,0.392857,0.549107,0.572917,0.583333,6.23,237187.66,248327.83,244594.91
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,2,0.034483,0.41369,0.421131,0.434524,0.693452,0.709821,0.714286,3.0,135804.21,129325.28,124916.34
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,4,0.068966,0.441964,0.441964,0.462798,0.755952,0.772321,0.776786,2.76,60395.27,61050.39,61892.13
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,8,0.137931,0.447917,0.450893,0.483631,0.802083,0.815476,0.8125,1.3,32461.42,32055.1,32696.59
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,16,0.275862,0.443452,0.462798,0.483631,0.825893,0.830357,0.827381,0.18,16690.68,16726.32,16319.59
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,32,0.551724,0.449405,0.459821,0.486607,0.830357,0.831845,0.81994,-1.25,8589.18,8247.01,8064.01
AudioCaps,ImageBind,audio->text,3346,sqrtN,58,58,1.0,0.447917,0.458333,0.485119,0.833333,0.834821,0.821429,-1.43,4359.25,4372.2,4349.5
AudioCaps,ImageBind,text->audio,672,n64,64,1,0.015625,0.285117,0.309922,0.314704,0.303945,0.332038,0.343096,12.88,220584.36,235876.33,237674.11
AudioCaps,ImageBind,text->audio,672,n64,64,2,0.03125,0.35535,0.374477,0.378063,0.444411,0.463539,0.46832,5.38,125151.02,122872.86,125198.78
AudioCaps,ImageBind,text->audio,672,n64,64,4,0.0625,0.373282,0.409145,0.407651,0.574417,0.60251,0.607292,5.72,67523.8,66695.24,67575.89
AudioCaps,ImageBind,text->audio,672,n64,64,8,0.125,0.391811,0.421698,0.425882,0.704124,0.732815,0.726539,3.18,33919.06,34034.95,33622.87
AudioCaps,ImageBind,text->audio,672,n64,64,16,0.25,0.400179,0.429767,0.439928,0.769874,0.7896,0.806336,4.74,17377.52,17396.0,17218.01
AudioCaps,ImageBind,text->audio,672,n64,64,32,0.5,0.400179,0.431261,0.442319,0.794082,0.806635,0.82636,4.06,8686.73,8737.37,8689.5
AudioCaps,ImageBind,text->audio,672,n64,64,64,1.0,0.400478,0.432457,0.441721,0.796175,0.812014,0.822475,3.3,4259.88,4255.25,4267.4
AudioCaps,ImageBind,text->audio,672,sqrtN,26,1,0.038462,0.296772,0.332935,0.338314,0.400478,0.450687,0.456366,13.96,202581.62,212441.74,209208.69
AudioCaps,ImageBind,text->audio,672,sqrtN,26,2,0.076923,0.335027,0.383144,0.385535,0.522415,0.588464,0.582188,11.44,112411.27,113841.28,112729.39
AudioCaps,ImageBind,text->audio,672,sqrtN,26,4,0.153846,0.374477,0.41572,0.420502,0.656007,0.708607,0.70532,7.52,60235.87,58071.02,58520.85
AudioCaps,ImageBind,text->audio,672,sqrtN,26,8,0.307692,0.389719,0.43156,0.437836,0.752839,0.783025,0.779139,3.49,26989.23,33928.45,34189.68
AudioCaps,ImageBind,text->audio,672,sqrtN,26,16,0.615385,0.392409,0.437836,0.437537,0.775254,0.805439,0.816796,5.36,16988.75,17286.22,17530.58
AudioCaps,ImageBind,text->audio,672,sqrtN,26,26,1.0,0.393604,0.439331,0.437537,0.779737,0.812911,0.817394,4.83,10451.52,10725.97,10753.77
Clotho-all,ImageBind,audio->text,5926,n64,64,1,0.015625,0.333412,0.240533,0.358117,0.335685,0.304774,0.334219,-0.44,119515.56,103693.85,93661.19
Clotho-all,ImageBind,audio->text,5926,n64,64,2,0.03125,0.401282,0.290111,0.443976,0.470759,0.409511,0.486812,3.41,53560.13,54778.92,61356.36
Clotho-all,ImageBind,audio->text,5926,n64,64,4,0.0625,0.450472,0.326139,0.498532,0.55828,0.469553,0.595287,6.63,46344.89,27235.02,29449.42
Clotho-all,ImageBind,audio->text,5926,n64,64,8,0.125,0.470992,0.34217,0.523979,0.598321,0.49538,0.654593,9.4,16310.74,16849.04,14599.21
Clotho-all,ImageBind,audio->text,5926,n64,64,16,0.25,0.479632,0.350371,0.534813,0.616169,0.509057,0.682015,10.69,8960.25,7927.85,7119.45
Clotho-all,ImageBind,audio->text,5926,n64,64,32,0.5,0.483783,0.354759,0.539656,0.622784,0.51758,0.69338,11.34,3998.67,4096.05,4096.67
Clotho-all,ImageBind,audio->text,5926,n64,64,64,1.0,0.484593,0.355991,0.541242,0.62553,0.521063,0.697224,11.46,2315.15,1957.91,2025.67
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,1,0.012987,0.34433,0.262572,0.380307,0.308772,0.295933,0.319447,3.46,161172.32,81667.41,94136.26
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,2,0.025974,0.415845,0.301299,0.456801,0.46202,0.412872,0.480589,4.02,54647.38,58189.26,57510.36
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,4,0.051948,0.454843,0.328181,0.504877,0.559475,0.47389,0.591026,5.64,40431.0,27353.35,31227.08
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,8,0.103896,0.474924,0.342271,0.531995,0.602413,0.498446,0.655287,8.78,17510.85,14576.35,16429.75
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,16,0.207792,0.484846,0.349021,0.542946,0.62204,0.511399,0.685975,10.28,7623.24,9121.8,7522.68
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,32,0.415584,0.487125,0.352801,0.547418,0.628849,0.51932,0.698476,11.07,4127.43,4031.74,4588.04
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,64,0.831169,0.488171,0.354404,0.549224,0.630975,0.523245,0.702983,11.41,1988.26,2052.91,2094.32
Clotho-all,ImageBind,audio->text,5926,sqrtN,77,77,1.0,0.488475,0.354624,0.549342,0.631294,0.523502,0.703439,11.43,1876.46,1955.6,1599.75
Clotho-all,ImageBind,text->audio,5926,n64,64,1,0.015625,0.444482,0.36166,0.43456,0.387892,0.378579,0.379647,-2.13,128573.69,94469.11,86676.96
Clotho-all,ImageBind,text->audio,5926,n64,64,2,0.03125,0.528147,0.410007,0.523355,0.563547,0.507676,0.547477,-2.85,55556.44,61400.86,57671.55
Clotho-all,ImageBind,text->audio,5926,n64,64,4,0.0625,0.569035,0.432602,0.568005,0.664857,0.568775,0.657389,-1.12,39848.41,27129.43,29655.83
Clotho-all,ImageBind,text->audio,5926,n64,64,8,0.125,0.58461,0.442018,0.588205,0.707717,0.592719,0.712285,0.65,18572.76,15205.03,15341.44
Clotho-all,ImageBind,text->audio,5926,n64,64,16,0.25,0.589841,0.444516,0.594684,0.718928,0.599055,0.732069,1.83,7605.54,8614.42,7495.93
Clotho-all,ImageBind,text->audio,5926,n64,64,32,0.5,0.58996,0.445613,0.598043,0.719462,0.599055,0.73594,2.29,4240.17,4116.39,4418.22
Clotho-all,ImageBind,text->audio,5926,n64,64,64,1.0,0.589403,0.445798,0.597992,0.718736,0.598409,0.735491,2.33,2044.3,2109.16,1924.5
Clotho-all,ImageBind,text->audio,5926,sqrtN,77,1,0.012987,0.434408,0.358353,0.426426,0.353193,0.347693,0.347128,-1.72,109530.81,101696.37,108655.2
Clotho-all,ImageBind,text->audio,5926,sqrtN,77,2,0.025974,0.521009,0.407476,0.518107,0.532968,0.488036,0.51876,-2.67,63195.97,64607.78,50743.04
Clotho-all,ImageBind,text->audio,5926,sqrtN,77,4,0.051948,0.567381,0.434863,0.564411,0.653064,0.562693,0.639529,-2.07,30269.64,31320.74,41322.46
Clotho-all,ImageBind,text->audio,5926,sqrtN,77,8,0.103896,0.587749,0.447047,0.59028,0.706858,0.594703,0.706493,-0.05,15681.14,16423.02,19166.88
