method,alpha,nprobe,nlist,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,80000,0.0052,0.0091,0.0121,6924.6,72,407314954,512,42
vanilla_rabitq,0.0,2,80000,0.008,0.0139,0.0183,6050.4,72,407314954,512,42
vanilla_rabitq,0.0,4,80000,0.0106,0.0198,0.0267,5036.7,72,407314954,512,42
vanilla_rabitq,0.0,8,80000,0.0147,0.0275,0.0371,3880.3,72,407314954,512,42
vanilla_rabitq,0.0,16,80000,0.0208,0.0368,0.0494,2536.6,72,407314954,512,42
vanilla_rabitq,0.0,32,80000,0.0257,0.0463,0.063,1443.4,72,407314954,512,42
vanilla_rabitq,0.0,64,80000,0.0307,0.0554,0.0776,646.4,72,407314954,512,42
vanilla_rabitq,0.0,128,80000,0.0341,0.0657,0.0933,322.4,72,407314954,512,42
vanilla_rabitq,0.0,256,80000,0.0386,0.0751,0.1079,178.2,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,1,80000,0.0072,0.0205,0.0395,7301.4,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,2,80000,0.0083,0.025,0.0485,6139.8,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,4,80000,0.0101,0.0292,0.0567,5064.5,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,8,80000,0.0111,0.0312,0.0623,4110.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,16,80000,0.0131,0.0339,0.0671,3089.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,32,80000,0.0139,0.036,0.0704,2151.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,64,80000,0.0139,0.0365,0.0722,998.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,128,80000,0.0143,0.0371,0.0733,426.1,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,256,80000,0.0143,0.0375,0.0735,138.6,72,407314954,512,42
pmc_1.00,1.0,1,80000,0.0169,0.0352,0.055,6944.0,72,407314954,512,42
pmc_1.00,1.0,2,80000,0.0229,0.0465,0.0737,5775.4,72,407314954,512,42
pmc_1.00,1.0,4,80000,0.0261,0.0556,0.0915,5105.9,72,407314954,512,42
pmc_1.00,1.0,8,80000,0.0291,0.0647,0.1069,4291.6,72,407314954,512,42
pmc_1.00,1.0,16,80000,0.0314,0.0713,0.1202,3208.0,72,407314954,512,42
pmc_1.00,1.0,32,80000,0.0334,0.0766,0.1291,2021.4,72,407314954,512,42
pmc_1.00,1.0,64,80000,0.0343,0.0813,0.1359,793.1,72,407314954,512,42
pmc_1.00,1.0,128,80000,0.0341,0.0836,0.1398,332.0,72,407314954,512,42
pmc_1.00,1.0,256,80000,0.0363,0.0855,0.1426,118.6,72,407314954,512,42
