method,alpha,direction,nprobe,rerank_k,nlist,r1,r10,r100,n_db,d,seed
vanilla_rabitq,0.0,forward,256,0,80000,0.0386,0.07512,0.107899,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,0,80000,0.0143,0.03751,0.073517,407314954,512,42
pmc_1.00,1.0,forward,256,0,80000,0.0363,0.08546,0.142599,407314954,512,42
vanilla_rabitq,0.0,forward,256,100,80000,0.2603,0.20622,0.107899,407314954,512,42
vanilla_rabitq,0.0,forward,256,200,80000,0.3073,0.25365,0.149853,407314954,512,42
vanilla_rabitq,0.0,forward,256,400,80000,0.3491,0.30156,0.197822,407314954,512,42
vanilla_rabitq,0.0,forward,256,500,80000,0.3626,0.31612,0.213761,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,100,80000,0.1428,0.1218,0.073517,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,200,80000,0.1794,0.16084,0.106719,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,400,80000,0.2224,0.20633,0.148532,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,500,80000,0.2345,0.22114,0.163872,407314954,512,42
pmc_1.00,1.0,forward,256,100,80000,0.3005,0.25506,0.142599,407314954,512,42
pmc_1.00,1.0,forward,256,200,80000,0.3517,0.321,0.204706,407314954,512,42
pmc_1.00,1.0,forward,256,400,80000,0.4096,0.38978,0.27733,407314954,512,42
pmc_1.00,1.0,forward,256,500,80000,0.4282,0.41198,0.301998,407314954,512,42
