method,alpha,direction,nprobe,rerank_k,nlist,r1,r10,r100,n_db,d,seed
vanilla_rabitq,0.0,reverse,512,0,80000,0.0167,0.03483,0.068363,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,512,0,80000,0.0154,0.02908,0.044226,407314954,512,42
pmc_1.00,1.0,reverse,512,0,80000,0.0253,0.04937,0.074581,407314954,512,42
vanilla_rabitq,0.0,reverse,512,100,80000,0.1732,0.13337,0.068363,407314954,512,42
vanilla_rabitq,0.0,reverse,512,200,80000,0.2303,0.18797,0.107675,407314954,512,42
vanilla_rabitq,0.0,reverse,512,500,80000,0.3124,0.27681,0.181646,407314954,512,42
vanilla_rabitq,0.0,reverse,512,1000,80000,0.391,0.35694,0.256632,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,512,100,80000,0.0829,0.07375,0.044226,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,512,200,80000,0.0997,0.09245,0.06156,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,512,500,80000,0.1223,0.12034,0.089886,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,512,1000,80000,0.1413,0.14597,0.116807,407314954,512,42
pmc_1.00,1.0,reverse,512,100,80000,0.1455,0.13106,0.074581,407314954,512,42
pmc_1.00,1.0,reverse,512,200,80000,0.1721,0.16364,0.105742,407314954,512,42
pmc_1.00,1.0,reverse,512,500,80000,0.2122,0.2146,0.157686,407314954,512,42
pmc_1.00,1.0,reverse,512,1000,80000,0.2474,0.25696,0.203964,407314954,512,42
vanilla_rabitq,0.0,reverse,1024,0,80000,0.0159,0.03305,0.065869,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,1024,0,80000,0.0157,0.02954,0.04492,407314954,512,42
pmc_1.00,1.0,reverse,1024,0,80000,0.0259,0.05056,0.075882,407314954,512,42
vanilla_rabitq,0.0,reverse,1024,100,80000,0.1777,0.13301,0.065869,407314954,512,42
vanilla_rabitq,0.0,reverse,1024,200,80000,0.2369,0.18962,0.105051,407314954,512,42
vanilla_rabitq,0.0,reverse,1024,500,80000,0.326,0.28417,0.180973,407314954,512,42
vanilla_rabitq,0.0,reverse,1024,1000,80000,0.4031,0.36737,0.257886,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,1024,100,80000,0.0853,0.07497,0.04492,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,1024,200,80000,0.1024,0.09457,0.062649,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,1024,500,80000,0.1243,0.12319,0.091621,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,1024,1000,80000,0.1463,0.14888,0.119006,407314954,512,42
pmc_1.00,1.0,reverse,1024,100,80000,0.1505,0.13442,0.075882,407314954,512,42
pmc_1.00,1.0,reverse,1024,200,80000,0.1787,0.1686,0.107989,407314954,512,42
pmc_1.00,1.0,reverse,1024,500,80000,0.2197,0.22114,0.161231,407314954,512,42
pmc_1.00,1.0,reverse,1024,1000,80000,0.2572,0.26544,0.208783,407314954,512,42
