method,alpha,nprobe,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,0.0013,0.0034,0.0059,18044.9,72,407314954,512,42
vanilla_rabitq,0.0,2,0.003,0.0061,0.0112,13029.1,72,407314954,512,42
vanilla_rabitq,0.0,4,0.0048,0.01,0.0186,8867.0,72,407314954,512,42
vanilla_rabitq,0.0,8,0.0066,0.0145,0.0269,5419.9,72,407314954,512,42
vanilla_rabitq,0.0,16,0.008,0.0194,0.0361,2953.1,72,407314954,512,42
vanilla_rabitq,0.0,32,0.0099,0.0233,0.0448,1519.4,72,407314954,512,42
vanilla_rabitq,0.0,64,0.0118,0.0263,0.0508,761.8,72,407314954,512,42
vanilla_rabitq,0.0,128,0.0124,0.0288,0.0556,278.0,72,407314954,512,42
vanilla_rabitq,0.0,256,0.0148,0.0306,0.0582,134.9,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,1,0.0062,0.0117,0.0203,9467.2,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,2,0.0074,0.0143,0.0243,6107.1,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,4,0.0089,0.0169,0.0275,4037.4,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,8,0.0098,0.0187,0.031,2636.9,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,16,0.0113,0.0209,0.0342,1599.4,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,32,0.0128,0.0232,0.0367,877.6,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,64,0.0138,0.025,0.0393,450.6,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,128,0.0138,0.0263,0.0411,202.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,256,0.0145,0.0277,0.0423,59.6,72,407314954,512,42
pmc_1.00,1.0,1,0.0075,0.0175,0.0311,12448.8,72,407314954,512,42
pmc_1.00,1.0,2,0.0108,0.0222,0.0391,8589.9,72,407314954,512,42
pmc_1.00,1.0,4,0.014,0.0271,0.0461,5557.7,72,407314954,512,42
pmc_1.00,1.0,8,0.0167,0.0313,0.0524,3397.5,72,407314954,512,42
pmc_1.00,1.0,16,0.019,0.0351,0.0579,1906.9,72,407314954,512,42
pmc_1.00,1.0,32,0.0217,0.0387,0.0626,1002.1,72,407314954,512,42
pmc_1.00,1.0,64,0.0249,0.0415,0.0668,508.3,72,407314954,512,42
pmc_1.00,1.0,128,0.0258,0.0439,0.0698,249.7,72,407314954,512,42
pmc_1.00,1.0,256,0.027,0.0459,0.0722,100.0,72,407314954,512,42
