method,alpha,nprobe,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,0.0022,0.0036,0.0039,6132.9,72,407314954,512,42
vanilla_rabitq,0.0,2,0.0033,0.0059,0.007,4773.9,72,407314954,512,42
vanilla_rabitq,0.0,4,0.0059,0.0103,0.012,3482.3,72,407314954,512,42
vanilla_rabitq,0.0,8,0.0089,0.016,0.0191,2259.7,72,407314954,512,42
vanilla_rabitq,0.0,16,0.0118,0.0243,0.0281,1304.6,72,407314954,512,42
vanilla_rabitq,0.0,32,0.0166,0.0338,0.041,695.5,72,407314954,512,42
vanilla_rabitq,0.0,64,0.0226,0.0443,0.0575,349.0,72,407314954,512,42
vanilla_rabitq,0.0,128,0.0288,0.0569,0.0755,157.8,72,407314954,512,42
vanilla_rabitq,0.0,256,0.0341,0.0684,0.0948,70.9,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,1,0.0063,0.02,0.0385,4811.1,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,2,0.007,0.0245,0.0474,3413.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,4,0.0093,0.0281,0.0554,2235.2,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,8,0.0103,0.0314,0.0621,1338.5,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,16,0.011,0.0339,0.0668,756.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,32,0.0112,0.0347,0.069,410.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,64,0.0107,0.0356,0.0705,216.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,128,0.0102,0.0361,0.0713,111.9,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,256,0.0106,0.0365,0.0719,37.3,72,407314954,512,42
pmc_1.00,1.0,1,0.0162,0.0359,0.0549,4983.0,72,407314954,512,42
pmc_1.00,1.0,2,0.0201,0.0466,0.073,3610.5,72,407314954,512,42
pmc_1.00,1.0,4,0.0244,0.0558,0.0894,2415.8,72,407314954,512,42
pmc_1.00,1.0,8,0.0255,0.0636,0.1037,1464.0,72,407314954,512,42
pmc_1.00,1.0,16,0.0274,0.0694,0.1153,829.4,72,407314954,512,42
pmc_1.00,1.0,32,0.0298,0.0744,0.1243,453.5,72,407314954,512,42
pmc_1.00,1.0,64,0.031,0.0768,0.1303,240.2,72,407314954,512,42
pmc_1.00,1.0,128,0.0325,0.0797,0.1342,122.4,72,407314954,512,42
pmc_1.00,1.0,256,0.0328,0.0819,0.1369,47.7,72,407314954,512,42
