method,nprobe,direction,seed,r1,r10,r100
opq,1,text->image,42,0.1322,0.1777,0.1759
opq,4,text->image,42,0.3074,0.4062,0.4641
opq,16,text->image,42,0.3864,0.4932,0.6044
opq,64,text->image,42,0.392,0.502,0.6324
opq_pmc,1,text->image,42,0.2354,0.34,0.342
opq_pmc,4,text->image,42,0.3346,0.4718,0.5542
opq_pmc,16,text->image,42,0.3682,0.5224,0.6593
opq_pmc,64,text->image,42,0.3722,0.5287,0.6865
opq,1,text->image,43,0.179,0.2461,0.2451
opq,4,text->image,43,0.311,0.4158,0.4833
opq,16,text->image,43,0.3704,0.4919,0.6135
opq,64,text->image,43,0.372,0.4966,0.6355
opq_pmc,1,text->image,43,0.2424,0.3452,0.3411
opq_pmc,4,text->image,43,0.344,0.4832,0.5704
opq_pmc,16,text->image,43,0.3826,0.5301,0.6687
opq_pmc,64,text->image,43,0.386,0.5351,0.6908
opq,1,text->image,44,0.188,0.2487,0.2412
opq,4,text->image,44,0.3138,0.4196,0.4823
opq,16,text->image,44,0.3858,0.4993,0.614
opq,64,text->image,44,0.3942,0.5133,0.6449
opq_pmc,1,text->image,44,0.2192,0.3109,0.3187
opq_pmc,4,text->image,44,0.3342,0.4638,0.5401
opq_pmc,16,text->image,44,0.374,0.5213,0.6584
opq_pmc,64,text->image,44,0.3792,0.5332,0.6913
opq,1,image->text,42,0.244,0.3204,0.3242
opq,4,image->text,42,0.3684,0.4692,0.5452
opq,16,image->text,42,0.4248,0.5324,0.6698
opq,64,image->text,42,0.434,0.5413,0.699
opq_pmc,1,image->text,42,0.2354,0.3605,0.4138
opq_pmc,4,image->text,42,0.3104,0.4575,0.5951
opq_pmc,16,image->text,42,0.331,0.4876,0.6693
opq_pmc,64,image->text,42,0.3338,0.4908,0.684
opq,1,image->text,43,0.1578,0.2282,0.2369
opq,4,image->text,43,0.341,0.4639,0.5389
opq,16,image->text,43,0.3922,0.5214,0.6684
opq,64,image->text,43,0.4,0.5284,0.6941
opq_pmc,1,image->text,43,0.2364,0.3775,0.4435
opq_pmc,4,image->text,43,0.3056,0.4633,0.6074
opq_pmc,16,image->text,43,0.326,0.4856,0.6711
opq_pmc,64,image->text,43,0.3294,0.4895,0.685
opq,1,image->text,44,0.1086,0.1404,0.1273
opq,4,image->text,44,0.362,0.4723,0.5408
opq,16,image->text,44,0.4222,0.5417,0.6825
opq,64,image->text,44,0.4292,0.5484,0.703
opq_pmc,1,image->text,44,0.2386,0.3636,0.4032
opq_pmc,4,image->text,44,0.3048,0.4568,0.6022
opq_pmc,16,image->text,44,0.3252,0.4801,0.6672
opq_pmc,64,image->text,44,0.3274,0.4833,0.6795
