method,alpha,nprobe,direction,r1,r10,r100,nn_r10,nn_r100,qps,bytes_per_vec,n_vectors,d,seed
vanilla_rabitq,0.0,1,text->image,0.1982,0.3402,0.4083,0.4978,0.614,21711.6,72,5000,512,42
vanilla_rabitq,0.0,2,text->image,0.2326,0.383,0.5262,0.5932,0.7736,11692.0,72,5000,512,42
vanilla_rabitq,0.0,4,text->image,0.241,0.402,0.5788,0.6468,0.8714,5900.6,72,5000,512,42
vanilla_rabitq,0.0,8,text->image,0.2418,0.4026,0.5869,0.6586,0.9228,2855.4,72,5000,512,42
vanilla_rabitq,0.0,16,text->image,0.237,0.3953,0.5701,0.6652,0.9396,1535.7,72,5000,512,42
vanilla_rabitq,0.0,32,text->image,0.2314,0.3847,0.5433,0.6538,0.9334,807.8,72,5000,512,42
vanilla_rabitq,0.0,64,text->image,0.2242,0.3759,0.522,0.6438,0.9246,387.5,72,5000,512,42
vanilla_rabitq_meanshift,0.0,1,text->image,0.1664,0.2919,0.3613,0.4118,0.5398,19671.5,72,5000,512,42
vanilla_rabitq_meanshift,0.0,2,text->image,0.1998,0.3385,0.469,0.5046,0.6988,11474.3,72,5000,512,42
vanilla_rabitq_meanshift,0.0,4,text->image,0.2236,0.3606,0.5182,0.5572,0.7982,5542.4,72,5000,512,42
vanilla_rabitq_meanshift,0.0,8,text->image,0.2338,0.3714,0.5353,0.5878,0.865,3059.3,72,5000,512,42
vanilla_rabitq_meanshift,0.0,16,text->image,0.236,0.3732,0.5344,0.6006,0.89,1641.8,72,5000,512,42
vanilla_rabitq_meanshift,0.0,32,text->image,0.2352,0.3701,0.5227,0.6004,0.8918,820.8,72,5000,512,42
vanilla_rabitq_meanshift,0.0,64,text->image,0.2356,0.3683,0.5138,0.5988,0.8896,278.4,72,5000,512,42
pmc_1.00,1.0,1,text->image,0.215,0.339,0.366,0.4794,0.5654,17304.2,72,5000,512,42
pmc_1.00,1.0,2,text->image,0.259,0.3977,0.4837,0.5848,0.7128,10135.7,72,5000,512,42
pmc_1.00,1.0,4,text->image,0.2854,0.4324,0.5649,0.6564,0.829,4996.7,72,5000,512,42
pmc_1.00,1.0,8,text->image,0.2996,0.449,0.6067,0.6982,0.9076,2485.3,72,5000,512,42
pmc_1.00,1.0,16,text->image,0.3076,0.4551,0.6232,0.7158,0.9516,1337.3,72,5000,512,42
pmc_1.00,1.0,32,text->image,0.3064,0.4539,0.6214,0.7204,0.9668,661.4,72,5000,512,42
pmc_1.00,1.0,64,text->image,0.3052,0.4515,0.6116,0.7188,0.9662,287.3,72,5000,512,42
ivfpq_meanshift_64B,0.0,1,text->image,0.1764,0.2862,0.3298,0.4068,0.4996,2332.4,64,5000,512,42
ivfpq_meanshift_64B,0.0,2,text->image,0.2228,0.3467,0.4368,0.5152,0.6582,2020.1,64,5000,512,42
ivfpq_meanshift_64B,0.0,4,text->image,0.2532,0.3914,0.5072,0.6016,0.787,1765.4,64,5000,512,42
ivfpq_meanshift_64B,0.0,8,text->image,0.2706,0.4152,0.5516,0.662,0.8806,1403.2,64,5000,512,42
ivfpq_meanshift_64B,0.0,16,text->image,0.2754,0.4245,0.5762,0.6844,0.9246,990.2,64,5000,512,42
ivfpq_meanshift_64B,0.0,32,text->image,0.2766,0.4274,0.587,0.6906,0.9404,741.8,64,5000,512,42
ivfpq_meanshift_64B,0.0,64,text->image,0.2768,0.4279,0.5895,0.6912,0.9434,423.0,64,5000,512,42
vanilla_rabitq,0.0,1,image->text,0.1304,0.2858,0.4453,0.4054,0.7048,13565.6,72,5000,512,42
vanilla_rabitq,0.0,2,image->text,0.1398,0.298,0.5275,0.4348,0.8102,6837.3,72,5000,512,42
vanilla_rabitq,0.0,4,image->text,0.1386,0.2964,0.5348,0.4484,0.8426,3753.5,72,5000,512,42
vanilla_rabitq,0.0,8,image->text,0.138,0.2899,0.5163,0.4476,0.8378,1656.7,72,5000,512,42
vanilla_rabitq,0.0,16,image->text,0.1348,0.2826,0.494,0.4396,0.8218,1041.6,72,5000,512,42
vanilla_rabitq,0.0,32,image->text,0.1322,0.2742,0.4679,0.4282,0.8026,555.4,72,5000,512,42
vanilla_rabitq,0.0,64,image->text,0.1304,0.2702,0.4462,0.4236,0.79,280.9,72,5000,512,42
vanilla_rabitq_meanshift,0.0,1,image->text,0.1152,0.2572,0.4112,0.3348,0.5992,14635.1,72,5000,512,42
vanilla_rabitq_meanshift,0.0,2,image->text,0.1318,0.2802,0.4826,0.377,0.7092,8688.3,72,5000,512,42
vanilla_rabitq_meanshift,0.0,4,image->text,0.1414,0.293,0.5024,0.407,0.7698,4679.0,72,5000,512,42
vanilla_rabitq_meanshift,0.0,8,image->text,0.144,0.2979,0.5056,0.425,0.8024,2357.3,72,5000,512,42
vanilla_rabitq_meanshift,0.0,16,image->text,0.1468,0.2974,0.4908,0.429,0.8068,1196.9,72,5000,512,42
vanilla_rabitq_meanshift,0.0,32,image->text,0.1484,0.2965,0.4792,0.431,0.8008,636.3,72,5000,512,42
vanilla_rabitq_meanshift,0.0,64,image->text,0.1486,0.2961,0.4757,0.4316,0.7996,309.0,72,5000,512,42
