method,alpha,nprobe,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,0.067,0.1248,0.1916,32409.4,33,10000000,200,42
vanilla_rabitq,0.0,2,0.081,0.1512,0.234,21245.7,33,10000000,200,42
vanilla_rabitq,0.0,4,0.086,0.1646,0.2612,14636.6,33,10000000,200,42
vanilla_rabitq,0.0,8,0.096,0.171,0.2724,8592.4,33,10000000,200,42
vanilla_rabitq,0.0,16,0.098,0.1742,0.275,4473.5,33,10000000,200,42
vanilla_rabitq,0.0,32,0.095,0.1699,0.2722,2342.3,33,10000000,200,42
vanilla_rabitq,0.0,64,0.096,0.1667,0.2669,1215.8,33,10000000,200,42
vanilla_rabitq,0.0,128,0.096,0.1643,0.262,626.4,33,10000000,200,42
pmc_1.00,1.0,1,0.062,0.1298,0.1951,31673.8,33,10000000,200,42
pmc_1.00,1.0,2,0.071,0.1536,0.2363,22201.4,33,10000000,200,42
pmc_1.00,1.0,4,0.08,0.1679,0.2636,13869.7,33,10000000,200,42
pmc_1.00,1.0,8,0.086,0.1745,0.2769,8211.9,33,10000000,200,42
pmc_1.00,1.0,16,0.092,0.1745,0.2788,4304.8,33,10000000,200,42
pmc_1.00,1.0,32,0.094,0.1716,0.277,2294.3,33,10000000,200,42
pmc_1.00,1.0,64,0.095,0.1703,0.2728,1197.5,33,10000000,200,42
pmc_1.00,1.0,128,0.091,0.1674,0.2682,614.5,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,1,0.067,0.1186,0.1843,31369.5,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,2,0.079,0.1471,0.2301,21916.1,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,4,0.093,0.1593,0.2553,13660.1,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,8,0.095,0.1658,0.2664,8014.8,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,16,0.095,0.1659,0.2676,4293.5,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,32,0.096,0.1643,0.2644,2325.2,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,64,0.096,0.1603,0.26,1190.7,33,10000000,200,42
vanilla_rabitq_meanshift,0.0,128,0.092,0.1599,0.2563,608.8,33,10000000,200,42
