Dataset,Enc,Dir,shifted_db_modality,n_db,nlist,nprobe,probe_budget,cov_van,cov_pmc,cov_gap,rerank_verdict
MSCOCO,CLIP,reverse,text,5000,320,1,0.003125,0.16964,0.15633,-0.01331,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,2,0.00625,0.302672,0.280854,-0.021818,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,3,0.009375,0.399622,0.375294,-0.024328,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,5,0.015625,0.543522,0.51005,-0.033472,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,8,0.025,0.671706,0.63226,-0.039446,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,16,0.05,0.808994,0.769818,-0.039176,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,32,0.1,0.88136,0.862424,-0.018936,Vanilla
MSCOCO,CLIP,reverse,text,5000,320,64,0.2,0.856738,0.894056,0.037318,PMC
MSCOCO,CLIP,reverse,text,5000,320,80,0.25,0.84422,0.89561,0.05139,PMC
MSCOCO,CLIP,forward,image,5000,320,1,0.003125,0.154966,0.142154,-0.012812,Vanilla
MSCOCO,CLIP,forward,image,5000,320,2,0.00625,0.279124,0.24883,-0.030294,Vanilla
MSCOCO,CLIP,forward,image,5000,320,3,0.009375,0.369004,0.329508,-0.039496,Vanilla
MSCOCO,CLIP,forward,image,5000,320,5,0.015625,0.503774,0.455954,-0.04782,Vanilla
MSCOCO,CLIP,forward,image,5000,320,8,0.025,0.629834,0.573708,-0.056126,Vanilla
MSCOCO,CLIP,forward,image,5000,320,16,0.05,0.780498,0.72418,-0.056318,Vanilla
MSCOCO,CLIP,forward,image,5000,320,32,0.1,0.880844,0.841256,-0.039588,Vanilla
MSCOCO,CLIP,forward,image,5000,320,64,0.2,0.899458,0.902036,0.002578,PMC
MSCOCO,CLIP,forward,image,5000,320,80,0.25,0.89474,0.911414,0.016674,PMC
