backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,ivfpq_vanilla,0.0,text->image,16,0,0.3978,0.5429,66085.82,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,16,100,0.8931,0.5429,8603.17,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,16,200,0.9197,0.7311,6205.33,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,16,500,0.9241,0.8223,4382.31,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,16,1000,0.9243,0.8275,841.17,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,0,0.4955,0.6322,64969.32,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,100,0.9168,0.6322,8043.38,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,200,0.9399,0.7907,5357.79,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,500,0.9449,0.8609,2567.94,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,1000,0.9453,0.8675,687.34,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,text->image,16,0,0.4979,0.6154,60350.03,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,text->image,16,100,0.9151,0.6154,7851.57,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,text->image,16,200,0.9236,0.7786,5945.99,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,text->image,16,500,0.9243,0.8263,3969.9,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,text->image,16,1000,0.9243,0.8275,829.09,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,text->image,16,0,0.5221,0.6588,58962.33,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,text->image,16,100,0.9242,0.6588,13363.53,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,text->image,16,200,0.9416,0.8076,9375.63,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,text->image,16,500,0.9449,0.8632,4926.82,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,text->image,16,1000,0.9453,0.8676,965.66,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,64,0,0.4044,0.5596,27023.32,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,64,100,0.9446,0.5596,6958.18,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,64,200,0.9854,0.7844,4896.61,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,64,500,0.9981,0.9527,3241.76,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,text->image,64,1000,0.9995,0.9918,692.75,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,0,0.5019,0.6545,19318.67,64,5000,512,42
