backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq,0.0,text->image,16,0,0.3966,0.5723,26443.61,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,100,0.8717,0.5723,7376.94,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,200,0.9346,0.7537,5866.62,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,500,0.9668,0.8922,4282.74,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,1000,0.972,0.9231,927.46,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,0,0.3725,0.5351,25506.48,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,100,0.8175,0.5351,6983.3,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,200,0.8875,0.6978,6420.63,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,500,0.936,0.838,4282.88,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,1000,0.9484,0.8868,909.54,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,0,0.455,0.6232,26052.06,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,100,0.9055,0.6232,8473.97,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,200,0.9415,0.7909,6084.35,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,500,0.954,0.8794,4295.34,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,1000,0.9552,0.8917,893.04,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,0,0.3776,0.5241,6797.14,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,100,0.8394,0.5241,3896.69,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,200,0.9105,0.6873,3755.11,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,500,0.9625,0.8424,2800.84,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,1000,0.9828,0.9241,845.6,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,0,0.3686,0.5149,6735.47,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,100,0.8089,0.5149,4416.9,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,200,0.8821,0.6718,3895.29,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,500,0.9436,0.8213,2775.79,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,1000,0.9724,0.9038,843.05,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,0,0.4506,0.6112,6774.62,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,100,0.916,0.6112,4113.46,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,200,0.9622,0.7918,3889.51,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,500,0.9889,0.9239,2676.32,72,5000,512,42
