method,index_type,dataset,backbone,direction,variant,gt_protocol,r1,r10,r100
PureBinary,BinaryFlat,mscoco,clip-b32,text2image,vanilla,original_exact_ip,0.2406,0.3559,0.507302
PureBinary,BinaryFlat,mscoco,clip-b32,text2image,pmc_a1,original_exact_ip,0.263,0.39698,0.569712
BinaryIVF,BinaryIVF,mscoco,clip-b32,text2image,vanilla,original_exact_ip,0.2372,0.3548,0.51386
BinaryIVF,BinaryIVF,mscoco,clip-b32,text2image,pmc_a1,original_exact_ip,0.257,0.39226,0.565408
RotatedBinary,BinaryFlat+Rotation,mscoco,clip-b32,text2image,vanilla,original_exact_ip,0.1044,0.1716,0.29102
RotatedBinary,BinaryFlat+Rotation,mscoco,clip-b32,text2image,pmc_a1,original_exact_ip,0.2682,0.40686,0.579666
RaBitQ,IVFRaBitQFastScan,mscoco,clip-b32,text2image,vanilla,original_exact_ip,0.2688,0.42142,0.57794
RaBitQ,IVFRaBitQFastScan,mscoco,clip-b32,text2image,pmc_a1,original_exact_ip,0.3146,0.4751,0.63716
PureBinary,BinaryFlat,mscoco,clip-b32,image2text,vanilla,original_exact_ip,0.1438,0.27698,0.457924
PureBinary,BinaryFlat,mscoco,clip-b32,image2text,pmc_a1,original_exact_ip,0.2542,0.39452,0.567536
BinaryIVF,BinaryIVF,mscoco,clip-b32,image2text,vanilla,original_exact_ip,0.1388,0.27636,0.468716
BinaryIVF,BinaryIVF,mscoco,clip-b32,image2text,pmc_a1,original_exact_ip,0.2468,0.39096,0.565946
RotatedBinary,BinaryFlat+Rotation,mscoco,clip-b32,image2text,vanilla,original_exact_ip,0.0558,0.09832,0.208612
RotatedBinary,BinaryFlat+Rotation,mscoco,clip-b32,image2text,pmc_a1,original_exact_ip,0.2526,0.39186,0.574332
RaBitQ,IVFRaBitQFastScan,mscoco,clip-b32,image2text,vanilla,original_exact_ip,0.1328,0.26598,0.515454
RaBitQ,IVFRaBitQFastScan,mscoco,clip-b32,image2text,pmc_a1,original_exact_ip,0.2332,0.413,0.608346
PureBinary,BinaryFlat,audiocaps,imagebind,text2audio,vanilla,original_exact_ip,0.3855039637599094,0.5996375990939977,0.6298301245753114
PureBinary,BinaryFlat,audiocaps,imagebind,text2audio,pmc_a1,original_exact_ip,0.3845979614949037,0.6166024915062288,0.6596693091732729
BinaryIVF,BinaryIVF,audiocaps,imagebind,text2audio,vanilla,original_exact_ip,0.3687429218573046,0.5873386183465459,0.585823329558324
BinaryIVF,BinaryIVF,audiocaps,imagebind,text2audio,pmc_a1,original_exact_ip,0.37440543601359005,0.6062740656851642,0.6141426953567384
RotatedBinary,BinaryFlat+Rotation,audiocaps,imagebind,text2audio,vanilla,original_exact_ip,0.3832389580973952,0.5910758776896943,0.654727066817667
RotatedBinary,BinaryFlat+Rotation,audiocaps,imagebind,text2audio,pmc_a1,original_exact_ip,0.3943374858437146,0.6432163080407701,0.7030781426953567
RaBitQ,IVFRaBitQFastScan,audiocaps,imagebind,text2audio,vanilla,original_exact_ip,0.5907134767836919,0.7431710079275198,0.7509082672706682
RaBitQ,IVFRaBitQFastScan,audiocaps,imagebind,text2audio,pmc_a1,original_exact_ip,0.5510758776896942,0.7339524348810872,0.7490804077010192
PureBinary,BinaryFlat,audiocaps,imagebind,audio2text,vanilla,original_exact_ip,0.16855203619909503,0.3574660633484163,0.5142533936651583
PureBinary,BinaryFlat,audiocaps,imagebind,audio2text,pmc_a1,original_exact_ip,0.248868778280543,0.46210407239819007,0.6442194570135746
BinaryIVF,BinaryIVF,audiocaps,imagebind,audio2text,vanilla,original_exact_ip,0.16402714932126697,0.34898190045248867,0.4989366515837104
BinaryIVF,BinaryIVF,audiocaps,imagebind,audio2text,pmc_a1,original_exact_ip,0.24434389140271492,0.45520361990950226,0.628947963800905
RotatedBinary,BinaryFlat+Rotation,audiocaps,imagebind,audio2text,vanilla,original_exact_ip,0.3427601809954751,0.509841628959276,0.6253619909502263
RotatedBinary,BinaryFlat+Rotation,audiocaps,imagebind,audio2text,pmc_a1,original_exact_ip,0.2997737556561086,0.4971719457013575,0.6866515837104072
RaBitQ,IVFRaBitQFastScan,audiocaps,imagebind,audio2text,vanilla,original_exact_ip,0.24434389140271492,0.4666289592760181,0.6672850678733032
RaBitQ,IVFRaBitQFastScan,audiocaps,imagebind,audio2text,pmc_a1,original_exact_ip,0.3563348416289593,0.5835972850678733,0.7526131221719456
