direction,n_calib,sample_seed,r100,cos
text2image,25,0,0.734486,0.979990
text2image,25,1,0.724526,0.987795
text2image,25,2,0.732848,0.985232
text2image,25,3,0.725610,0.989708
text2image,25,4,0.728000,0.987189
text2image,50,0,0.727536,0.993600
text2image,50,1,0.732632,0.991518
text2image,50,2,0.733086,0.993841
text2image,50,3,0.735348,0.993803
text2image,50,4,0.730146,0.993496
text2image,100,0,0.725760,0.996502
text2image,100,1,0.728604,0.995527
text2image,100,2,0.729674,0.997277
text2image,100,3,0.731776,0.997025
text2image,100,4,0.730426,0.996391
text2image,200,0,0.730442,0.998725
text2image,200,1,0.731058,0.998321
text2image,200,2,0.730590,0.998570
text2image,200,3,0.728106,0.998581
text2image,200,4,0.733816,0.997956
text2image,400,0,0.730168,0.999232
text2image,400,1,0.729300,0.999238
text2image,400,2,0.728830,0.999096
text2image,400,3,0.729164,0.999235
text2image,400,4,0.729140,0.999381
image2text,25,0,0.689910,0.984705
image2text,25,1,0.695430,0.985854
image2text,25,2,0.699402,0.986289
image2text,25,3,0.690524,0.987751
image2text,25,4,0.693180,0.986499
image2text,50,0,0.696970,0.992725
image2text,50,1,0.697402,0.992367
image2text,50,2,0.695368,0.993735
image2text,50,3,0.692932,0.993973
image2text,50,4,0.697656,0.993094
image2text,100,0,0.691988,0.996579
image2text,100,1,0.693304,0.996580
image2text,100,2,0.696208,0.996570
image2text,100,3,0.694288,0.996804
image2text,100,4,0.698406,0.995569
image2text,200,0,0.692788,0.998319
image2text,200,1,0.694996,0.998311
image2text,200,2,0.696776,0.998562
image2text,200,3,0.694730,0.998617
image2text,200,4,0.694262,0.997870
image2text,400,0,0.695568,0.999184
image2text,400,1,0.695052,0.999121
image2text,400,2,0.693680,0.999154
image2text,400,3,0.694410,0.999309
image2text,400,4,0.694010,0.999299
