method,alpha,direction,nprobe,rerank_k,nlist,r1,r10,r100,n_db,d,seed
vanilla_rabitq,0.0,forward,64,0,80000,0.0307,0.05537,0.077635,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,64,0,80000,0.0139,0.03649,0.072233,407314954,512,42
pmc_1.00,1.0,forward,64,0,80000,0.0343,0.08127,0.135886,407314954,512,42
vanilla_rabitq,0.0,forward,64,100,80000,0.1849,0.1469,0.077635,407314954,512,42
vanilla_rabitq,0.0,forward,64,200,80000,0.213,0.17722,0.106239,407314954,512,42
vanilla_rabitq,0.0,forward,64,500,80000,0.2463,0.21507,0.146572,407314954,512,42
vanilla_rabitq,0.0,forward,64,1000,80000,0.2627,0.23933,0.175779,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,64,100,80000,0.1349,0.11644,0.072233,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,64,200,80000,0.1695,0.1532,0.10456,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,64,500,80000,0.2184,0.20835,0.158976,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,64,1000,80000,0.2573,0.25391,0.207981,407314954,512,42
pmc_1.00,1.0,forward,64,100,80000,0.2698,0.23459,0.135886,407314954,512,42
pmc_1.00,1.0,forward,64,200,80000,0.3144,0.29291,0.193025,407314954,512,42
pmc_1.00,1.0,forward,64,500,80000,0.3781,0.36921,0.280224,407314954,512,42
pmc_1.00,1.0,forward,64,1000,80000,0.4176,0.42205,0.34844,407314954,512,42
vanilla_rabitq,0.0,forward,256,0,80000,0.0386,0.07512,0.107939,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,0,80000,0.0143,0.03751,0.073517,407314954,512,42
pmc_1.00,1.0,forward,256,0,80000,0.0363,0.08546,0.142603,407314954,512,42
vanilla_rabitq,0.0,forward,256,100,80000,0.2603,0.20622,0.107939,407314954,512,42
vanilla_rabitq,0.0,forward,256,200,80000,0.3073,0.25365,0.149862,407314954,512,42
vanilla_rabitq,0.0,forward,256,500,80000,0.3626,0.31612,0.213777,407314954,512,42
vanilla_rabitq,0.0,forward,256,1000,80000,0.3976,0.35913,0.262978,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,100,80000,0.1428,0.1218,0.073517,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,200,80000,0.1794,0.16084,0.106719,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,500,80000,0.2345,0.22114,0.163879,407314954,512,42
vanilla_rabitq_meanshift,0.0,forward,256,1000,80000,0.2789,0.27117,0.215572,407314954,512,42
pmc_1.00,1.0,forward,256,100,80000,0.3005,0.25506,0.142603,407314954,512,42
pmc_1.00,1.0,forward,256,200,80000,0.3517,0.321,0.204712,407314954,512,42
pmc_1.00,1.0,forward,256,500,80000,0.4282,0.41198,0.302029,407314954,512,42
pmc_1.00,1.0,forward,256,1000,80000,0.4831,0.47619,0.381021,407314954,512,42
