method,alpha,nprobe,nlist,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,80000,0.0024,0.0061,0.0109,6900.6,72,407314954,512,42
vanilla_rabitq,0.0,2,80000,0.0042,0.0097,0.0179,5626.4,72,407314954,512,42
vanilla_rabitq,0.0,4,80000,0.0066,0.0147,0.0278,5089.5,72,407314954,512,42
vanilla_rabitq,0.0,8,80000,0.009,0.0201,0.0389,3872.3,72,407314954,512,42
vanilla_rabitq,0.0,16,80000,0.0115,0.0248,0.0492,2693.7,72,407314954,512,42
vanilla_rabitq,0.0,32,80000,0.0124,0.028,0.0581,1535.1,72,407314954,512,42
vanilla_rabitq,0.0,64,80000,0.0144,0.0312,0.0638,737.6,72,407314954,512,42
vanilla_rabitq,0.0,128,80000,0.0155,0.033,0.0671,370.8,72,407314954,512,42
vanilla_rabitq,0.0,256,80000,0.0176,0.0347,0.0686,154.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,1,80000,0.0059,0.0116,0.0207,7068.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,2,80000,0.0071,0.0141,0.0247,5825.8,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,4,80000,0.0085,0.0171,0.0289,4782.6,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,8,80000,0.01,0.0196,0.032,3916.7,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,16,80000,0.0111,0.0217,0.0349,2880.3,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,32,80000,0.0123,0.0237,0.0377,1865.2,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,64,80000,0.0133,0.0254,0.0398,881.6,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,128,80000,0.0142,0.0269,0.0416,401.9,72,407314954,512,42
vanilla_rabitq_meanshift,0.0,256,80000,0.0148,0.0282,0.0432,135.1,72,407314954,512,42
pmc_1.00,1.0,1,80000,0.0088,0.0184,0.0313,6677.0,72,407314954,512,42
pmc_1.00,1.0,2,80000,0.0122,0.0237,0.0397,5593.6,72,407314954,512,42
pmc_1.00,1.0,4,80000,0.0143,0.0283,0.0468,4859.1,72,407314954,512,42
pmc_1.00,1.0,8,80000,0.0165,0.0329,0.0534,3973.6,72,407314954,512,42
pmc_1.00,1.0,16,80000,0.0189,0.0368,0.0583,3062.0,72,407314954,512,42
pmc_1.00,1.0,32,80000,0.0215,0.0402,0.0628,1984.9,72,407314954,512,42
pmc_1.00,1.0,64,80000,0.0221,0.0431,0.0667,745.7,72,407314954,512,42
pmc_1.00,1.0,128,80000,0.0232,0.0456,0.07,326.0,72,407314954,512,42
pmc_1.00,1.0,256,80000,0.0243,0.048,0.0728,93.7,72,407314954,512,42
