method,alpha,direction,nprobe,rerank_k,nlist,r1,r10,r100,n_db,d,seed
vanilla_rabitq,0.0,reverse,256,0,80000,0.0176,0.03472,0.068595,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,0,80000,0.0148,0.02823,0.043165,407314954,512,42
pmc_1.00,1.0,reverse,256,0,80000,0.0243,0.04795,0.072835,407314954,512,42
vanilla_rabitq,0.0,reverse,256,100,80000,0.1709,0.13001,0.068595,407314954,512,42
vanilla_rabitq,0.0,reverse,256,200,80000,0.2205,0.18151,0.106879,407314954,512,42
vanilla_rabitq,0.0,reverse,256,400,80000,0.2795,0.24331,0.158096,407314954,512,42
vanilla_rabitq,0.0,reverse,256,500,80000,0.3004,0.26606,0.178056,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,100,80000,0.0805,0.07156,0.043165,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,200,80000,0.0957,0.08957,0.06006,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,400,80000,0.1108,0.10943,0.080092,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,500,80000,0.116,0.11646,0.087449,407314954,512,42
pmc_1.00,1.0,reverse,256,100,80000,0.1403,0.12657,0.072835,407314954,512,42
pmc_1.00,1.0,reverse,256,200,80000,0.1675,0.15772,0.102673,407314954,512,42
pmc_1.00,1.0,reverse,256,400,80000,0.1944,0.19428,0.139867,407314954,512,42
pmc_1.00,1.0,reverse,256,500,80000,0.2066,0.20681,0.152958,407314954,512,42
