method,alpha,direction,nprobe,rerank_k,nlist,r1,r10,r100,n_db,d,seed
vanilla_rabitq,0.0,reverse,64,0,80000,0.0144,0.03117,0.063774,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,64,0,80000,0.0133,0.02545,0.039765,407314954,512,42
pmc_1.00,1.0,reverse,64,0,80000,0.0221,0.04307,0.066672,407314954,512,42
vanilla_rabitq,0.0,reverse,64,100,80000,0.1459,0.11497,0.063774,407314954,512,42
vanilla_rabitq,0.0,reverse,64,200,80000,0.1858,0.15885,0.096889,407314954,512,42
vanilla_rabitq,0.0,reverse,64,500,80000,0.2499,0.22613,0.157621,407314954,512,42
vanilla_rabitq,0.0,reverse,64,1000,80000,0.3038,0.28162,0.214097,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,64,100,80000,0.0712,0.06334,0.039765,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,64,200,80000,0.0824,0.07956,0.055263,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,64,500,80000,0.0991,0.10326,0.080377,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,64,1000,80000,0.1177,0.12507,0.10451,407314954,512,42
pmc_1.00,1.0,reverse,64,100,80000,0.124,0.11246,0.066672,407314954,512,42
pmc_1.00,1.0,reverse,64,200,80000,0.1455,0.14045,0.093881,407314954,512,42
pmc_1.00,1.0,reverse,64,500,80000,0.1794,0.18226,0.138668,407314954,512,42
pmc_1.00,1.0,reverse,64,1000,80000,0.2097,0.21703,0.178121,407314954,512,42
vanilla_rabitq,0.0,reverse,256,0,80000,0.0176,0.03472,0.068595,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,0,80000,0.0148,0.02823,0.043165,407314954,512,42
pmc_1.00,1.0,reverse,256,0,80000,0.0243,0.04795,0.072835,407314954,512,42
vanilla_rabitq,0.0,reverse,256,100,80000,0.1709,0.13001,0.068595,407314954,512,42
vanilla_rabitq,0.0,reverse,256,200,80000,0.2205,0.18151,0.106879,407314954,512,42
vanilla_rabitq,0.0,reverse,256,500,80000,0.3004,0.26606,0.178056,407314954,512,42
vanilla_rabitq,0.0,reverse,256,1000,80000,0.3718,0.34005,0.249265,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,100,80000,0.0805,0.07156,0.043165,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,200,80000,0.0957,0.08957,0.060057,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,500,80000,0.116,0.11646,0.087444,407314954,512,42
vanilla_rabitq_meanshift,0.0,reverse,256,1000,80000,0.1357,0.14034,0.113426,407314954,512,42
pmc_1.00,1.0,reverse,256,100,80000,0.1403,0.12657,0.072835,407314954,512,42
pmc_1.00,1.0,reverse,256,200,80000,0.1675,0.15772,0.10267,407314954,512,42
pmc_1.00,1.0,reverse,256,500,80000,0.2066,0.20681,0.152955,407314954,512,42
pmc_1.00,1.0,reverse,256,1000,80000,0.2396,0.24685,0.197521,407314954,512,42
