backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,0,0.4074,0.5927,34517.18,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,100,0.8676,0.5927,9125.42,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,200,0.9115,0.7545,7749.44,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,250,0.917,0.7843,6834.33,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,300,0.9197,0.802,6664.8,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,350,0.9215,0.8124,6729.21,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,400,0.9226,0.8186,6310.91,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,450,0.9231,0.822,6135.97,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,500,0.9232,0.8236,5563.71,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,0,0.3751,0.5359,51092.41,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,100,0.7994,0.5359,10840.55,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,200,0.855,0.6828,8473.56,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,250,0.8646,0.7144,7807.16,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,300,0.87,0.7344,7407.43,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,350,0.8734,0.7476,7022.07,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,400,0.8757,0.7565,6453.93,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,450,0.8773,0.7624,6020.79,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,500,0.8782,0.766,5558.52,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,0,0.456,0.6116,49456.42,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,100,0.8692,0.6116,7972.66,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,200,0.8897,0.7418,6530.9,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,250,0.8917,0.7596,5650.78,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,300,0.8924,0.7686,5083.07,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,350,0.8927,0.7733,5770.63,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,400,0.893,0.7756,7515.52,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,450,0.893,0.7767,5360.5,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,500,0.8931,0.7772,4262.93,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,0,0.4009,0.5772,30420.21,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,100,0.8762,0.5772,7179.7,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,200,0.9388,0.7603,7698.26,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,250,0.9501,0.8043,6457.59,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,300,0.9574,0.8347,4297.75,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,350,0.9616,0.8563,4384.93,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,400,0.9645,0.8724,4645.1,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,450,0.9666,0.8843,4642.16,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,500,0.968,0.8934,4290.33,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,0,0.3766,0.5364,14336.38,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,100,0.8205,0.5364,9334.4,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,200,0.8901,0.7006,5482.96,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,250,0.9058,0.7424,8427.69,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,300,0.9155,0.7724,5417.34,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,350,0.9222,0.7949,4409.85,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,400,0.9276,0.8125,5466.89,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,450,0.9312,0.8264,4363.82,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,500,0.9342,0.8377,4007.64,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,71,0,0.4596,0.6274,15876.12,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,71,100,0.9095,0.6274,9906.58,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,71,200,0.9427,0.7927,5560.65,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,16,71,250,0.9478,0.824,6626.98,72,5000,512,42
