backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,0,0.4074,0.5927,68338.87,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,100,0.8676,0.5927,13679.19,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,200,0.9115,0.7545,11292.2,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,500,0.9232,0.8236,7191.47,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,8,71,1000,0.9234,0.8248,2913.44,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,0,0.3751,0.5359,45115.12,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,100,0.7994,0.5359,13729.02,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,200,0.855,0.6828,10894.09,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,500,0.8782,0.766,6739.04,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,1000,0.879,0.7693,2188.15,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,0,0.456,0.6116,53970.85,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,100,0.8692,0.6116,12556.78,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,200,0.8897,0.7418,10424.43,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,500,0.8931,0.7772,7078.25,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,8,71,1000,0.8931,0.7774,2861.77,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,0,0.4009,0.5772,34293.18,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,100,0.8762,0.5772,11724.45,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,200,0.9388,0.7603,9608.63,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,500,0.968,0.8934,6430.47,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,16,71,1000,0.9726,0.9199,1433.07,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,0,0.3766,0.5364,29353.94,72,5000,512,42
