enc,dataset,family,direction,nprobe,rerank_k,source,r100_van,r100_pmc,delta,mismatch
CLIP,MSCOCO,IVFPQ,t->i,16,0,rerank_multibit,.54,.63,+17%,
CLIP,MSCOCO,IVFPQ,i->t,16,0,rerank_multibit,.49,.64,+31%,van 0.49 vs paper 0.50
CLIP,MSCOCO,OPQ,t->i,16,0,opq_multiseed_mean,.61,.66,+8%,
CLIP,MSCOCO,OPQ,i->t,16,0,opq_multiseed_mean,.67,.67,+0%,
CL-L,MSCOCO,IVFPQ,t->i,16,0,rerank_multibit,.43,.63,+47%,delta +45% vs paper +46%
CL-L,MSCOCO,IVFPQ,i->t,16,0,rerank_multibit,.35,.58,+66%,
CL-L,MSCOCO,OPQ,t->i,16,0,rerank_multibit,.56,.67,+20%,
CL-L,MSCOCO,OPQ,i->t,16,0,rerank_multibit,.59,.67,+14%,van 0.59 vs paper 0.60; delta +15% vs paper +12%
IB,MSCOCO,IVFPQ,t->i,16,0,rerank_multibit,.59,.70,+19%,
IB,MSCOCO,IVFPQ,i->t,16,0,rerank_multibit,.59,.68,+15%,
IB,MSCOCO,OPQ,t->i,16,0,rerank_multibit,.68,.76,+12%,van 0.68 vs paper 0.69
IB,MSCOCO,OPQ,i->t,16,0,rerank_multibit,.72,.78,+8%,
CL-L,Flickr,IVFPQ,t->i,16,0,rerank_multibit,.50,.53,+6%,van 0.50 vs paper 0.51; pmc 0.53 vs paper 0.54; delta +6% vs paper +5%
CL-L,Flickr,IVFPQ,i->t,16,0,rerank_multibit,.43,.47,+9%,
CL-L,Flickr,OPQ,t->i,16,0,rerank_multibit,.55,.54,-2%,
CL-L,Flickr,OPQ,i->t,16,0,rerank_multibit,.48,.50,+4%,delta +4% vs paper +5%
